legacy_ref,legacy_command,legacy_alias_or_content,legacy_path,legacy_directory,legacy_filename,item_type,legacy_section,new_path_target,migration_status,action_required
42,ransomware,"soc-triage, threat-hunting",IT-SHARED/60_BUNDLES/BUNDLE_NOC_SOC_SIEM_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_NOC_SOC_SIEM_V1.md,bundle,🛡️ SÉCURITÉ — Runbooks individuels (40–44),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
43,security-audit,,IT-SHARED/10_RUNBOOKS/SECURITY/SEC-SECU-SecurityAudit_V2.md,IT-SHARED/10_RUNBOOKS/SECURITY,SEC-SECU-SecurityAudit_V2.md,runbook,🛡️ SÉCURITÉ — Runbooks individuels (40–44),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
44,m365-compliance,,IT-SHARED/10_RUNBOOKS/SECURITY/SEC-M365-Compliance_Purview_V2.md,IT-SHARED/10_RUNBOOKS/SECURITY,SEC-M365-Compliance_Purview_V2.md,runbook,🛡️ SÉCURITÉ — Runbooks individuels (40–44),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B50,b-support,Mega-bundle support MSP complet,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOKS_IT_SUPPORT.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOKS_IT_SUPPORT.md,bundle,🎧 SUPPORT — Bundles (B50–B53),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B51,b-n1,"Support N1/N2 — MDP, comptes, WiFi, logiciels",IT-SHARED/60_BUNDLES/BUNDLE_SUPPORT_N1_UserSupport_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_SUPPORT_N1_UserSupport_V1.md,bundle,🎧 SUPPORT — Bundles (B50–B53),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B52,b-live,"Intervention live — CW close, dispatch, KB",IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_SUPPORT_Intervention-Live_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_SUPPORT_Intervention-Live_V1.md,bundle,🎧 SUPPORT — Bundles (B50–B53),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B53,b-triage-kb,Triage N1/N2/N3 + création KB,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_SUPPORT_Triage-KB_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_SUPPORT_Triage-KB_V1.md,bundle,🎧 SUPPORT — Bundles (B50–B53),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
50,triage-support,triage,IT-SHARED/10_RUNBOOKS/SUPPORT/SUP-N1N2-SupportTriage_V2.md,IT-SHARED/10_RUNBOOKS/SUPPORT,SUP-N1N2-SupportTriage_V2.md,runbook,🎧 SUPPORT — Runbooks individuels (50–62b),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
51,support-n2,"mdp, compte, wifi, logiciel, application",IT-SHARED/10_RUNBOOKS/SUPPORT/SUP-N2-Support_V2.md,IT-SHARED/10_RUNBOOKS/SUPPORT,SUP-N2-Support_V2.md,runbook,🎧 SUPPORT — Runbooks individuels (50–62b),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
53,imprimante,print-diag,IT-SHARED/60_BUNDLES/BUNDLE_SUPPORT_Print_Diag_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_SUPPORT_Print_Diag_V1.md,bundle,🎧 SUPPORT — Runbooks individuels (50–62b),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
55,vpn,,IT-SHARED/10_RUNBOOKS/SUPPORT/SUP-NET-VPN_Troubleshooting_V2.md,IT-SHARED/10_RUNBOOKS/SUPPORT,SUP-NET-VPN_Troubleshooting_V2.md,runbook,🎧 SUPPORT — Runbooks individuels (50–62b),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
58,srv-ad,serveur-opr,IT-SHARED/60_BUNDLES/BUNDLE_SUPPORT_SERVER-AD.md,IT-SHARED/60_BUNDLES,BUNDLE_SUPPORT_SERVER-AD.md,bundle,🎧 SUPPORT — Runbooks individuels (50–62b),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
59,onedrive-sync,M365-sync,IT-SHARED/10_RUNBOOKS/SUPPORT/SUP-M365-OneDrive_SharePoint_Sync_V2.md,IT-SHARED/10_RUNBOOKS/SUPPORT,SUP-M365-OneDrive_SharePoint_Sync_V2.md,runbook,🎧 SUPPORT — Runbooks individuels (50–62b),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
60,intervention,,IT-SHARED/10_RUNBOOKS/SUPPORT/SUP-OPS-CW_InterventionLive_Close_V2.md,IT-SHARED/10_RUNBOOKS/SUPPORT,SUP-OPS-CW_InterventionLive_Close_V2.md,runbook,🎧 SUPPORT — Runbooks individuels (50–62b),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
61,close-cw,,IT-SHARED/10_RUNBOOKS/SUPPORT/SUP-OPS-CW_InterventionLive_Close_V2.md,IT-SHARED/10_RUNBOOKS/SUPPORT,SUP-OPS-CW_InterventionLive_Close_V2.md,runbook,🎧 SUPPORT — Runbooks individuels (50–62b),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
62,dispatch,,IT-SHARED/10_RUNBOOKS/SUPPORT/SUP-OPS-CW_Dispatch_V2.md,IT-SHARED/10_RUNBOOKS/SUPPORT,SUP-OPS-CW_Dispatch_V2.md,runbook,🎧 SUPPORT — Runbooks individuels (50–62b),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
62b,ticket-to-kb,,IT-SHARED/10_RUNBOOKS/SUPPORT/SUP-OPS-TicketToKB_V2.md,IT-SHARED/10_RUNBOOKS/SUPPORT,SUP-OPS-TicketToKB_V2.md,runbook,🎧 SUPPORT — Runbooks individuels (50–62b),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
80,tpl-cw,,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/TEMPLATE_BUNDLE_CW_CLOSE.md,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW,TEMPLATE_BUNDLE_CW_CLOSE.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
81,tpl-note,,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/TEMPLATE__CW_NOTE_INTERNE.md,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW,TEMPLATE__CW_NOTE_INTERNE.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
82,tpl-discussion,,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/TEMPLATE__CW_DISCUSSION.md,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW,TEMPLATE__CW_DISCUSSION.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
83,tpl-email,,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW/TEMPLATE__EMAIL_CLIENT.md,IT-SHARED/20_TEMPLATES/01_TEMPLATE_CW,TEMPLATE__EMAIL_CLIENT.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
84,tpl-teams,,IT-SHARED/20_TEMPLATES/02_TEMPLATE_COM/TEMPLATE_COM_Teams-Incident-Actif_V1.md,IT-SHARED/20_TEMPLATES/02_TEMPLATE_COM,TEMPLATE_COM_Teams-Incident-Actif_V1.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
85,tpl-flagup,,IT-SHARED/20_TEMPLATES/02_TEMPLATE_COM/TEMPLATE__FLAG_UP_AVERTISSEMENT.md,IT-SHARED/20_TEMPLATES/02_TEMPLATE_COM,TEMPLATE__FLAG_UP_AVERTISSEMENT.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
86,tpl-postmortem,,IT-SHARED/20_TEMPLATES/08_TEMPLATE_REPORTS/TEMPLATE_REPORT_Postmortem_V2.md,IT-SHARED/20_TEMPLATES/08_TEMPLATE_REPORTS,TEMPLATE_REPORT_Postmortem_V2.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
87,tpl-qbr,,IT-SHARED/20_TEMPLATES/08_TEMPLATE_REPORTS/TEMPLATE_REPORT_QBR_V1.md,IT-SHARED/20_TEMPLATES/08_TEMPLATE_REPORTS,TEMPLATE_REPORT_QBR_V1.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
88,tpl-mensuel,,IT-SHARED/20_TEMPLATES/08_TEMPLATE_REPORTS/TEMPLATE_REPORT_Mensuel_V1.md,IT-SHARED/20_TEMPLATES/08_TEMPLATE_REPORTS,TEMPLATE_REPORT_Mensuel_V1.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
89,tpl-hudu,edocs,IT-SHARED/20_TEMPLATES/09_TEMPLATE_HUDU/TEMPLATE__EDOCS_FICHE_OBJET_IT.md,IT-SHARED/20_TEMPLATES/09_TEMPLATE_HUDU,TEMPLATE__EDOCS_FICHE_OBJET_IT.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
89b,tpl-kb,,IT-SHARED/20_TEMPLATES/05_TEMPLATE_KNOWLEDGE/TEMPLATE_KNOWLEDGE_KB-Article-et-Procedure_V1.md,IT-SHARED/20_TEMPLATES/05_TEMPLATE_KNOWLEDGE,TEMPLATE_KNOWLEDGE_KB-Article-et-Procedure_V1.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
89c,tpl-incident,,IT-SHARED/20_TEMPLATES/06_TEMPLATE _INCIDENT/TEMPLATE__INCIDENT_CRITIQUE.md,IT-SHARED/20_TEMPLATES/06_TEMPLATE _INCIDENT,TEMPLATE__INCIDENT_CRITIQUE.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
89d,tpl-dr-test,,IT-SHARED/20_TEMPLATES/07_TEMPLATE_BACKUP/TEMPLATE_BACKUP_DR-Test-et-Restore_V1.md,IT-SHARED/20_TEMPLATES/07_TEMPLATE_BACKUP,TEMPLATE_BACKUP_DR-Test-et-Restore_V1.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
89e,tpl-post-panne,,IT-SHARED/20_TEMPLATES/12_TEMPLATE_DIAG/TEMPLATE_DIAG_PostPanneHQ.md,IT-SHARED/20_TEMPLATES/12_TEMPLATE_DIAG,TEMPLATE_DIAG_PostPanneHQ.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
89f,tpl-naming,,IT-SHARED/20_TEMPLATES/13_NAMING_STANDARDS/NAMING_STANDARDS_v1.md,IT-SHARED/20_TEMPLATES/13_NAMING_STANDARDS,NAMING_STANDARDS_v1.md,template,📋 TEMPLATES (80–89f),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
